interval,step_index,c0,c1,nu_prev,s,alpha,nu_new
0,0,-1000.0,-900.0,-953.4811117055793,-957.4942184478673,16.393879001323384,-953.4811117055793
0,0,-1000.0,-900.0,-997.781941760618,-962.7947884992625,219670490.57636926,-997.781941760618
0,0,-1000.0,-900.0,-937.4236199541244,-986.9992872959427,2131333212.308966,-937.4236199541244
0,0,-1000.0,-900.0,-931.285190048477,-967.8640527250483,231959552752.09348,-931.285190048477
0,0,-1000.0,-900.0,-946.1558341880842,-961.1540960315989,4309.9039342256865,-946.1558341880842
0,0,-1000.0,-900.0,-963.6129485185375,-929.2636372680998,4783896.87319558,-963.6129485185375
0,0,-1000.0,-900.0,-935.088064260138,-973.3743599535599,1.940402882500523e-12,-935.088064260138
0,0,-1000.0,-900.0,-936.1493828941854,-962.2913149803144,2.0621761340407674,-936.1493828941854
0,0,-1000.0,-900.0,-976.6416590254033,-924.9405028823953,4.63559129265259e-06,-976.6416590254033
0,0,-1000.0,-900.0,-973.233922359921,-931.1412768653611,59260.54704292655,-973.233922359921
0,0,-1000.0,-900.0,-986.2977248040465,-953.2811699157451,1.173438272110869,-986.2977248040465
0,0,-1000.0,-900.0,-994.8198281007612,-936.3142366614054,5.63157003502088e-12,-994.8198281007612
0,0,-1000.0,-900.0,-971.1261943941422,-901.6490867398438,983966.5968955723,-971.1261943941422
0,0,-1000.0,-900.0,-909.4189012953442,-927.2413434921497,2.7850354593657277e-11,-909.4189012953442
0,0,-1000.0,-900.0,-921.184675690433,-977.4740571226557,5482.559886636117,-921.184675690433
0,0,-1000.0,-900.0,-930.1122062471782,-901.6896051291637,282732082072.3613,-930.1122062471782
0,1024,-1000.0,-900.0,-901.2919966886295,-983.601578819289,26.928341384826783,-901.2919966886295
0,1024,-1000.0,-900.0,-961.0418333137153,-982.6357192407696,149339995.1075629,-961.0418333137153
0,1024,-1000.0,-900.0,-922.7551673695806,-949.8522827121516,2.474998881782044e-08,-922.7551673695806
0,1024,-1000.0,-900.0,-972.1895829630249,-923.1703588860752,0.06590147526851976,-972.1895829630249
0,1024,-1000.0,-900.0,-984.6626034774267,-962.3072838136007,90475058569.97115,-984.6626034774267
0,1024,-1000.0,-900.0,-946.4784943922638,-923.3922474335076,1.680266980274972e-08,-946.4784943922638
0,1024,-1000.0,-900.0,-929.4921880319234,-947.2499483355856,0.0552985506250359,-929.4921880319234
0,1024,-1000.0,-900.0,-974.7142140515754,-904.3091582473661,7160.626546755638,-974.7142140515754
0,1024,-1000.0,-900.0,-922.4789146662265,-957.7386017138206,3121291246.043108,-922.4789146662265
0,1024,-1000.0,-900.0,-935.7049345574333,-950.0812761663326,2.833921644505757e-05,-935.7049345574333
0,1024,-1000.0,-900.0,-930.4022688614679,-935.6042979416586,44652401315.06403,-930.4022688614679
0,1024,-1000.0,-900.0,-917.0678333077124,-994.8782037568678,66563162.15376866,-917.0678333077124
