dataset,tau,method,seed,epoch,train_objective,test_pauc
cifar10,0.05,SCENT,79,60,0.22200727,0.62046478
cifar10,0.05,SOX,79,60,0.21200727,0.68757384
cifar10,0.1,SCENT,79,60,0.1654345,0.69578439
cifar10,0.1,SOX,79,60,0.15543450,0.69317945
cifar10,0.05,SCENT,2024,60,0.20260165000000002,0.69372208
cifar10,0.05,SOX,2024,60,0.19260165,0.69050631
cifar10,0.1,SCENT,2024,60,0.1654634,0.69590314
cifar10,0.1,SOX,2024,60,0.15546340,0.69308004
cifar10,0.05,SCENT,2602,60,0.20572739,0.67654494
cifar10,0.05,SOX,2602,60,0.19572739,0.68931533
cifar10,0.1,SCENT,2602,60,0.16561187000000002,0.69525851
cifar10,0.1,SOX,2602,60,0.15561187,0.69252447
cifar100,0.05,SCENT,79,60,0.23036184370517732,0.581609568627451
cifar100,0.05,SOX,79,60,0.2203618437051773,0.586430431372549
cifar100,0.1,SCENT,79,60,0.2063682919740677,0.5907101960784313
cifar100,0.1,SOX,79,60,0.1963682919740677,0.5881458823529412
cifar100,0.05,SCENT,2024,60,0.22859860420227052,0.5795619607843137
cifar100,0.05,SOX,2024,60,0.2185986042022705,0.5856462745098039
cifar100,0.1,SCENT,2024,60,0.20567836821079255,0.5899124705882353
cifar100,0.1,SOX,2024,60,0.19567836821079254,0.5875530196078431
cifar100,0.05,SCENT,2602,60,0.2335364317893982,0.5834416470588235
cifar100,0.05,SOX,2602,60,0.2235364317893982,0.5869441176470588
cifar100,0.1,SCENT,2602,60,0.20677115976810456,0.5896900392156863
cifar100,0.1,SOX,2602,60,0.19677115976810455,0.5876190980392157
