case,nu_prev,s,alpha,stable,mp_reference,abs_error
0,-999.8086262598933,10000.038310029837,1.3127612802167862e+17,9039.645763117154,9039.64576311715529755692106094,1.0231882623990949e-12
1,99.89035292437993,-9999.927403268599,7.925361122235526e-05,9.442857578770543,9.44285757877053558568086107454,7.073504732873225e-15
2,0.20558250615164197,-99.83451233109105,1.1855875281382824e-16,0.20558250615164184,0.205582506151641829326581333451,6.840761724699327e-18
3,-0.18364268909888154,99.78482548634481,1.5359518037969843e-19,56.281216286855916,56.2812162868559158535229544992,2.55370021555379e-16
4,99.84039739788425,2000.2058287616715,474700.569284322,2000.2058287616712,2000.20582876167145514045841992,2.2737367544323206e-13
5,-709.8264061860932,0.13628864469859825,3999.842315047638,-701.3958891908185,-701.395889190818479660936869459,4.159869231398509e-17
6,709.9283759346848,2000.2160615887371,6.8839774422963585e-18,2000.216061588737,2000.21606158873714775836560875,2.2737367544323206e-13
7,-0.04399024790198375,-710.1006919767011,3.3598316824300343e-06,-0.04399346313239497,-0.043993463132394973331881726154,1.3748173773761458e-19
8,1999.870843086352,-1999.9221490250422,5.7149875874691,-1.7430921253230736,-1.74309212532299800457855517103,7.555556060915755e-14
9,-9999.790765239672,9999.95808978945,13092961.034155369,16.554909867902097,16.5549098679018733555853950148,2.2382024371751492e-13
10,100.22341569578836,99.7735538629928,1.9961223776712642e-18,99.7735538629928,99.7735538629927987130940891887,8.467550591764687e-27
11,-10000.101074275322,9999.855369787574,3.272869698570859e-14,-31.296228605946453,-31.2962286059463607644417496854,9.240734044588273e-14
12,-1999.8986016372903,-9999.978234063934,8.426785866818907e-20,-1999.8986016372903,-1999.89860163729031228285748512,0.0
13,1999.9776115808627,-1999.8009536134105,0.033781658433465214,3.387837273678315,3.38783727367838463560954689237,6.974897158353779e-14
14,-709.9045958497852,-1000.0457070546271,1.689923331044086e+21,-709.9045958497852,-709.904595849785209793481044471,0.0
15,-0.19608902776336196,100.2074952730397,1.3884559692948634e-10,77.31374763149688,77.3137476314968944643754385927,1.3678813340566388e-14
16,10000.246104650036,-709.8252101547023,1.3289812756856157e-15,34.254363704303614,34.2543637043039480967981424945,3.338836667743343e-13
17,99.89636008234831,-710.1005556747633,66880.86833330672,-11.110668231126851,-11.1106682311268515241942270667,1.0014324402522126e-16
18,1000.132926593773,2000.0417229245618,620231864150171.9,2000.041722924562,2000.04172292456178183783777058,2.2737367544323206e-13
19,2000.156905638249,-10000.076726318754,31192188.0812839,-17.255678239418785,-17.2556782394187706670305079493,1.42024550267783e-14
20,-0.200146068336087,-710.156734440162,0.0010650916618328925,-0.20101758438832262,-0.2010175843883226296634670878,6.451191912480839e-18
21,1000.1912332952991,-99.95018305076202,1.6790354425827647e-17,38.62572709368567,38.6257270936856330100079133016,3.5468420938511435e-14
22,100.15010704376036,1000.0019076608842,160922839780947.88,1000.0019076608842,1000.00190766088417149148881435,1.9894977896573055e-58
23,-709.8033189973395,999.8014504205288,0.00020187369333537762,281.4902630865389,281.490263086538913542569624573,1.0716719096839703e-14
24,-9999.943735517547,-999.7782880368331,3.795649475608586e+20,-9999.943735517547,-9999.94373551754688378423452377,0.0
25,10000.201339871526,710.0329442256373,453705.3792295042,710.032944225637,710.032944225637265844852663577,2.2737367544323206e-13
26,-2000.2096668561614,-709.850280267916,4.04742357915093e-09,-2000.2096668561614,-2000.2096668561614478676347062,0.0
27,1999.8992663061215,-999.7672411763882,1.3966263198306896e+17,-39.47800613779805,-39.4780061377980615328060044835,1.418476398577195e-14
28,709.9812141915498,-1000.2028805626034,5.947510459269902e+20,-47.83467458167377,-47.8346745816737381595609390509,2.8465028977267764e-14
29,-709.9325856663426,-0.2112706146094851,3.9978259794902774e-20,-709.9325856663426,-709.932585666342561125897568443,3.2364598502596353e-20
30,-0.07391263234993378,1999.7941880525968,5783402964.742755,1999.7941880524106,1999.79418805241066435343490849,4.616964979032553e-14
31,709.940715457618,-709.7512766159181,2.885698153867973,-1.059766865092456,-1.0597668650924486111662191662,7.489516974487621e-15
32,-2000.1790522569727,-1999.8914096568249,4.754049302447156e-20,-2000.1790522569727,-2000.17905225697268178919330239,0.0
33,710.0101414992931,-709.7748753203259,3.572799512630562e-22,49.383522580176304,49.3835225801763187462788574958,1.4273435672428603e-14
34,-2000.019676132974,-1999.8681071842962,0.15813211565406432,-2000.019676132974,-2000.01967613297392745153047144,0.0
35,-99.87679800988809,-9999.927776760856,4.7401263164534485e-05,-99.87679800988809,-99.8767980098880912009917665273,1.9945625901577263e-48
36,-999.873625576356,99.86454030797418,2.463389228466292e+18,-857.661015457602,-857.661015457602026356547246574,2.1361408182532747e-14
37,999.9272872925549,1000.1685840720837,62174231854750.125,1000.1685840720836,1000.16858407208371772867394611,1.1368683772161603e-13
38,-0.1770748119328892,9999.9088063041,15646245583.909683,9999.908806304024,9999.90880630402363154366465926,1.0318849089265061e-13
39,9999.779502587635,100.1530039746346,0.7803289382547747,100.15300397463398,100.153003974634600581339327618,6.252776074688882e-13
40,-99.87723231099089,-99.95342819992172,308.4380553647287,-99.87723231099089,-99.8772323109908910510057467036,9.517611285184898e-43
41,-100.10666515799585,-99.97736141982939,232804.31384768838,-100.10666515799585,-100.106665157995848858263343573,1.0745095522039393e-39
42,-709.9391292408591,-2000.1304092698413,3.2650938642364664e-10,-709.9391292408591,-709.939129240859074343461543322,0.0
43,2000.1053607737915,710.1334284523876,46410944.86424618,710.1334284523875,710.133428452387647666910197586,1.1368683772161603e-13
44,-709.7747523122397,-1999.9723413719573,1.957167414210936e-18,-709.7747523122397,-709.774752312239684215455781668,0.0
45,-710.2379524089305,-1000.190523913796,2.7750990637541725e-09,-710.2379524089305,-710.237952408930482306459452957,0.0
46,1999.913171614035,-99.99535781309694,321371023.10872984,-19.58810684886066,-19.5881068488607077142662371123,4.6156856324764455e-14
47,-2000.2267202153557,-1000.0861460454404,8.558080935264406e-22,-2000.2267202153557,-2000.22672021535572639550082386,0.0
48,2000.124282918784,-710.0738913726582,0.004344651632443605,5.438809700131969,5.43880970013189649027259397641,7.280330686521396e-14
49,-99.91744040519967,710.0929039557735,5.078786414746384e+20,657.8522377487702,657.852237748770299736389847128,7.82215296790289e-14
50,-709.9596874057622,99.81650826746402,13959692.936735045,-593.6914944791775,-593.69149447917750702989887513,4.2662495802419654e-14
51,-100.09726738576765,10000.0024339394,0.0018859284204187636,9893.631831505025,9893.63183150502323660002307892,1.5836169083237677e-12
52,-1999.7528178342252,-709.9226585879646,0.0003257906648594757,-1999.7528178342252,-1999.7528178342251976573606953,0.0
